Torque cutting wheel (MN*m),Pressure force cutting wheel (kN),Thrust force (kN),Torque screw (kN*m),Cutting wheel speed of rotation (rpm),Thrust pressure (bar),Earth pressure (bar),Pressure foam lance (bar),Excavated material flow (t/h),Penetration rate (mm/rpm)
6.672587269,13221.80874,24437.25753,9.65968039,2.283637847,187.9955899,1.874597241,1.526142264,41.48598131,2.995040816
7.30832636,7165.006173,24192.47076,15.26560748,2.053868379,200.2222222,1.984944126,1.863785461,194.619883,7.868333333
5.438451136,6325.828996,29983.06966,9.835515909,1.216224961,259.4256966,2.516141215,1.618735828,126.8596215,6.547627551
7.142330961,10294.95859,29598.87117,15.86387972,2.048325472,242.2653374,1.974328386,1.298571429,98.0129717,5.303884409
8.403623188,9741.47962,25128.74592,12.64991848,1.975991848,193.2304609,1.996548913,3.234563346,68.74415744,5.282088561
7.106674419,6420.646934,24914.96998,13.49340381,2.090931373,182.4133949,2.048185417,1.971300211,134.4206349,7.09075592
4.592126068,12938.00534,22819.17222,0.461819633,0.29010425,187.3492063,1.81346546,1.277772374,65.01755786,8.797947808
7.633596491,13452.54559,38388.75327,1.816044273,0.416037736,332.3105951,2.227150579,2.355826087,66.54620311,24.19715765
6.689863481,6609.880435,30766.88913,14.302,0.442708758,274.4770642,1.77019384,1.181072106,127.0605505,40.4117169
7.273855422,10076.89583,28312.73056,8.216805556,2.1155,198.7821229,2.113484349,1.48536,105.9287791,5.486024081
6.555156889,9401.447476,32477.70532,9.163723285,2.075174194,238.7345277,2.834648674,2.572593801,118.4784173,6.286054054
4.979034296,14736.05231,27344.95492,4.89944668,2.19740942,216.4694719,1.933264969,1.245915842,70.23338736,4.823232503
7.489840708,5649.463087,24364.9821,29.70201342,0.448541176,190.2930649,1.47724193,1.033912556,162.8747204,48.63186801
6.558617021,10730.22788,33311.38594,13.9345657,1.957915493,245.8905983,2.741496688,2.142745377,143.1983299,7.439539889
4.971238318,13645.57065,26712.11306,3.233496377,2.19740942,199.5005587,1.81348877,1.281364155,52.85621622,2.611667477
6.163429319,14590.61435,34404.61161,1.166628151,2.137550872,294.1042693,2.16085034,1.366463944,55.93042813,2.73738712
6.07278607,6465.838346,39022.68421,13.04810448,2.159868637,250.3760684,2.156446886,3.506623932,102.1244284,7.182838264
5.807317073,9849.154047,44574.377,7.551659193,2.204610245,340.699,2.365959036,1.99861869,95.49635036,5.374781032
8.103873239,9897.177817,33165.58979,13.44385449,1.947792079,223.3278085,2.826891501,2.603033088,126.4779412,7.271217687
5.648169014,13658.6648,33705.4623,4.813997155,2.135281046,248.4679943,2.983244353,1.715875,45.63822894,5.213051931
8.041720311,10349.78801,30277.82131,6.694106548,1.986304107,224.2215909,2.071809101,3.419228635,79.03415783,5.467963104
4.36638796,7311.587879,25409.14565,19.39368421,2.211148036,177.3738739,1.989753325,2.383505155,140.3568773,7.796168582
5.295545755,11655.10182,34062.0216,6.514133333,2.205754902,261.6972112,2.685274142,1.53250332,50.72263682,5.111714595
7.466751445,11163.77803,33344.06012,11.07464392,2.054197531,237.0242775,2.867450927,2.039291531,103.9934211,5.735848189
8.036855895,10647.73784,30790.22563,4.081791667,0.420567568,256.8734353,2.18672817,1.437100139,80.68145957,19.58019231
6.304487751,6906.406543,38236.49481,7.813958991,1.652289157,250.3760684,2.275359418,1.723583815,126.8596215,9.058491319
5.304477318,11655.10182,34062.0216,6.514133333,2.205754902,229.5284327,2.983609342,1.731829441,45.63822894,2.73246657
7.912431562,11517.4626,25122.40515,6.03911435,1.903054627,182.4986413,2.005217809,3.376477273,85.66220736,4.459508969
5.434305019,5328.026144,28453.70899,18.21411765,2.193165236,212.6825397,1.871235828,1.824074074,75.94026975,6.897279483
7.224773585,12275.3552,27633.5216,4.339312,2.060941828,197.1136,2.157572571,1.48536,125.6368,6.564871795
4.928428805,12108.39627,32680.97222,3.447319691,2.216574074,255.8468395,2.046970325,1.085371429,52.85621622,4.132075594
6.472044444,9849.154047,44574.377,4.92166,2.376375105,309.8070175,2.365959036,2.704232456,98.0978121,5.374781032
6.830958286,13503.11725,30505.74726,20.16065315,2.137334732,228.7878788,1.965524622,2.24378641,170.2058047,7.868333333
7.087100977,8527.144608,24804.20833,11.22536765,2.171168582,237.5416667,2.713921569,2.166217472,178.754902,9.876497549
7.78497307,13430.97001,31647.25787,5.32012366,2.065237226,209.5586854,2.315182763,1.943107477,78.56833825,4.058447674
7.023327172,11681.06794,27754.54634,7.848300741,2.048200924,197.1136,2.020661905,2.146335491,82.07919654,3.362881795
7.02571762,9276.831972,42650.60064,12.05580076,2.135499208,318.137834,2.967672628,1.886312399,120.0821256,6.350267829
5.256376812,14524.52053,33971.17898,-0.153612479,2.19871196,294.1042693,2.21975118,1.366463944,39.84154351,3.062432677
4.557643098,10298.35682,27460.20978,0.199330007,2.206272945,217.477918,1.788894897,1.434861751,73.9935846,3.080877893
6.339714286,13630.39462,30592.37287,1.664891217,2.137550872,196.1463035,2.817450213,1.93242025,60.51023192,3.154583704
6.870690846,15549.75813,33412.53729,1.166628151,2.099909808,235.4264943,2.283918332,1.530524239,72.51848982,3.440509885
7.624817629,7600.33125,32849.46931,16.4489648,2.061914894,255.8356436,2.325295615,1.737382739,156.239604,7.909336
7.494183445,5649.463087,25424.48337,29.70201342,0.420447427,219.4579256,1.408001118,1.040949119,130.5875706,39.17483088
7.622859259,7788.65037,32849.46931,20.50171852,2.061700787,255.8356436,2.325295615,2.218703704,211.5958904,12.43017647
6.750939457,8951.882647,30727.44978,9.063943662,1.999613095,223.327381,2.555777059,2.673024194,101.245098,6.257540931
4.458878327,8297.29666,23503.80943,1.853654224,2.155854617,172.6308411,1.871278371,1.515444444,94.8978389,4.354935622
2.82324747,9623.935294,43222.28197,0.0,2.048754407,322.0681551,2.181606501,1.420936931,40.04404145,2.892045977
7.067097561,12466.97889,39045.11741,8.675461741,2.11676781,251.5989446,2.90041274,1.904908377,97.88743455,5.082542184
7.30625,6370.571429,30043.30915,23.19749226,2.143410405,212.0018083,2.286581338,1.210592532,137.5100182,7.96618985
6.154514563,13170.92946,36020.75803,9.508705104,2.189242325,304.0028958,1.843753374,1.190928882,71.19101124,3.604865438
4.643227513,12283.19312,31951.47893,4.181005291,2.216574074,269.9431217,2.193197479,1.485534846,73.9935846,3.236833824
7.739847973,12343.45511,26304.98315,14.06785393,2.040426966,212.5048662,1.93805297,1.192261251,99.91803279,5.529348344
6.830958286,12707.17294,38740.41696,10.71051765,2.113694118,325.0694118,2.904791597,1.663103282,92.99662162,4.743154118
7.629354167,7600.33125,28850.8625,14.47767483,2.081013986,196.35,2.496538642,3.332768139,188.6824147,10.60985101
8.201623246,8364.182365,28674.44985,13.78985972,1.937905605,185.638191,2.828409629,2.158636364,174.8164251,11.73540811
4.200819964,13232.16297,26885.31831,7.36679868,2.342136964,199.5005587,1.782281436,1.453640777,95.2891791,1.689046175
6.365943662,6591.848943,26355.35294,24.44012285,0.400966543,258.2403101,1.77019384,1.026055409,142.0650558,43.54928439
7.772966292,9058.739726,22549.89384,17.94770548,1.684246575,177.0273973,2.173434932,3.60729572,94.8525641,7.395944046
6.87148405,6327.675302,26687.77809,13.00637969,2.085792208,192.1064935,2.01377551,1.882210777,120.8173759,8.028309979
7.953887972,8157.537285,36776.55556,25.18472222,0.414861111,336.422619,1.96282159,1.337111623,155.2777778,36.52681594
6.597727273,5358.793388,22564.53822,18.29666116,2.139294118,193.8235294,2.338941799,2.243518519,251.498008,18.17997573
6.750939457,13532.19849,34183.44917,4.813997155,2.152402464,294.1042693,2.95568,2.478880071,96.47933884,5.374656033
6.58039312,10730.22788,33252.67919,8.22423221,2.146389634,276.7817337,1.918575175,1.43143535,79.7950052,3.842176585
7.281028369,4878.300181,24061.04075,46.56589189,2.025956113,169.9592476,1.824841745,2.252567568,164.3272727,12.44398844
6.163429319,4872.191111,22590.86408,15.56386541,2.164078947,193.8235294,2.338941799,2.243518519,215.1921824,16.58532889
6.545624297,9369.169854,30795.29021,5.947619048,2.093241252,242.7345332,1.844825432,1.851827897,105.8888889,6.650352665
7.2134238,10977.05115,36401.93723,6.947611732,2.072978723,278.4741641,2.424407611,1.952230047,68.60592851,3.43212766
7.563694268,12849.75318,27940.15147,5.418225777,2.026244681,202.7514706,2.201948912,1.466032009,90.06382979,4.58694208
5.70031746,5828.589831,32088.26211,11.19273453,2.173387283,257.1681574,2.51632507,4.06218694,104.3885794,6.257540931
6.032825435,12864.60454,38049.41166,6.873249001,2.149957143,339.7990196,2.390300523,1.29952911,75.71510204,3.765840336
7.786087824,4826.477046,25415.8284,23.52958084,2.125303777,188.3858785,2.153200292,3.492117117,107.7766831,5.129427623
7.730520095,8354.543269,36903.78007,15.39584192,1.947703281,283.3869732,2.909107827,2.478880071,123.4030534,6.763017323
7.774143599,11873.98923,31728.60209,3.695766962,2.0660625,273.0471204,1.917329843,1.319240838,75.0672994,5.328206371
5.293392645,7562.385809,45347.96844,12.05148783,2.185782866,343.412083,2.365959036,1.748430576,68.41659152,3.161241659
7.472429379,12944.72222,38328.1037,2.36394775,0.416037736,309.8202703,2.227150579,2.355826087,66.54620311,27.9549595
7.740732087,12343.45511,27096.71631,6.703782506,2.064373522,203.998818,1.943917821,1.459947917,88.40425532,5.328206371
8.134735294,10585.04906,34095.14066,18.25835277,1.973811321,250.7631918,2.45635809,2.237665094,159.7685393,9.059853707
7.892471664,8373.755233,37025.9372,13.65050651,1.87290938,264.3615734,2.508104603,3.022889843,121.604811,6.763017323
7.775762712,13167.57873,28675.51796,4.329281768,1.164166667,201.0116505,2.137584487,2.140485362,85.66220736,6.547627551
7.255826923,5544.577299,25170.54955,24.73790991,2.125303777,178.7099099,2.048185417,3.575848303,119.0351682,7.453111712
7.340612613,5569.576577,25424.48337,30.211409,0.418982387,219.4579256,1.408001118,1.078635347,140.556,55.56503958
7.13958589,8220.254448,29029.22249,24.20843416,0.416619217,257.5212982,1.504973643,1.085064338,136.1992883,40.33012332
7.290830325,9314.710692,40857.64731,18.00489712,2.049983687,289.5360656,2.519935249,2.084847036,134.6195029,6.413780757
7.14089697,10750.32121,37744.16545,7.454957507,1.884053672,288.6789137,2.930783589,2.157240949,94.59161677,4.843402094
6.597456231,10190.47889,42920.24305,4.688633938,2.052922156,341.5201536,3.004747738,2.262132044,67.852,4.587994624
6.510493218,11184.00932,33686.89918,16.68781726,2.088048553,295.6028369,1.843753374,1.488341544,94.2106599,4.697571765
7.52301059,12184.41394,37074.39415,14.44592497,2.05,271.764624,2.861072004,1.893073048,108.3509434,5.23460414
5.735020576,6220.554318,25937.19669,15.41034483,2.024252336,188.3928571,2.213897243,1.907407407,122.3376147,7.388186131
4.180662359,12053.65277,35719.42915,4.087741047,2.438502513,283.264731,2.242274076,1.382135678,34.5436958,3.062432677
5.668,11916.92843,35939.17714,8.437588813,2.185723502,291.5958738,2.380502774,1.343176606,82.3255814,3.765840336
3.181958955,3574.715084,18249.69274,10.23824451,0.163730408,189.9045643,1.649984038,1.120924765,189.4189944,280.1703128
4.370074627,9369.819838,42496.83884,0.960444797,2.217060041,322.8134715,2.417660528,1.356635168,39.04107338,2.390508762
6.912612994,6012.436441,37731.16525,26.58544053,2.140472441,284.6186916,2.910451268,2.013539967,207.6278409,10.84527557
7.803484848,9739.84596,37546.46067,12.58905544,1.951287879,283.3869732,2.930783589,2.590517241,150.0777311,9.039875776
7.81819376,8809.492537,31464.22931,12.08074671,2.014108984,227.3825137,2.654123437,2.141117363,131.1084559,7.800616541
6.398261421,12367.73547,29032.88103,2.357071865,2.162280475,201.2251656,2.229431764,1.48536,73.57846,3.440509885
7.265160494,10453.90078,25550.85271,2.338155039,2.123466667,172.3401487,2.643378456,2.045723104,122.3875969,5.969444961
5.293676301,7562.385809,37611.17517,5.554767184,2.134740854,332.213913,2.1982556,1.311928354,92.9827044,6.62409434
7.666998617,13724.61598,28016.33056,1.816044273,1.913997379,209.8397683,2.008554622,1.47396204,108.9778761,5.956834979
6.73644,6519.849271,34929.22042,30.96997868,0.33989339,335.7717206,1.459175582,1.299860335,152.0726872,59.79229851
3.331621622,11342.2357,26568.92212,2.719542903,3.52110958,210.3925104,1.772629713,1.434861751,48.43240223,2.356853918
7.876848138,12075.06508,33361.89048,23.2841963,2.005277383,216.1022965,1.898487921,1.677118056,109.5458333,5.727984722
8.036855895,5656.67101,23940.08184,29.70201342,0.429830508,190.2930649,1.47724193,1.151617375,143.527668,48.63186801
8.3125,9741.47962,42406.02376,10.61458468,1.951287879,329.6014207,2.433308625,2.460733549,110.1835616,6.030758766
7.143653846,10750.32121,39253.68727,5.313830303,2.095209302,298.0484848,2.223988926,2.411545455,89.44318182,5.306659091
8.478259494,9741.47962,27730.58533,12.40480935,1.980606061,197.1136,1.996548913,1.937534819,116.4115702,6.75545124
5.317721212,13415.61017,30635.96731,-0.153612479,2.153522167,196.1463035,1.965385214,1.555388889,52.14389535,2.793523263
7.486515152,10829.90783,36072.78409,14.35597954,2.04097561,278.4741641,2.945857577,3.656835206,128.4452424,8.164914132
5.091598837,12594.23211,34790.2588,3.208133462,2.179197292,264.4804598,2.103658456,1.085371429,52.85621622,4.132075594
7.767304833,8681.247978,35185.53499,11.44390785,2.075557587,298.5308219,2.347645336,1.516179541,92.95460277,6.616347458
7.633596491,8889.410798,34580.62969,11.44390785,2.002580645,262.728281,2.685274142,0.399647004,111.2182081,6.561017804
4.60129199,12283.19312,35719.42915,9.076570513,2.438502513,291.5958738,2.205592547,1.365467112,74.71692877,3.888543137
8.228558226,6905.966608,34485.32348,9.251312384,1.717414075,267.988491,2.445641086,2.38035,94.25650905,6.284153553
5.712526882,9665.936609,26396.34073,13.08885895,2.140745614,197.40729,2.084421553,1.885078873,53.38732854,2.091085284
7.869333333,12075.06508,33361.89048,23.2841963,1.984839572,226.5507937,2.008829932,1.472357227,122.3267652,6.466045455
6.605409836,5595.166276,34945.48244,12.84798599,2.131630435,269.4449649,2.298223486,1.993133462,147.7822736,8.016236893
7.23852,8687.404762,31903.49868,16.04348231,2.143374046,277.8972603,2.303050779,1.620606884,107.4232877,5.859072603
7.188707124,8088.413306,23081.46939,24.50455067,0.416619217,219.8184143,2.385617198,1.851294498,136.1992883,48.40999772
5.158189961,5770.965636,36454.62344,11.19273453,2.14264637,295.9357477,2.170137893,1.872105788,71.49753695,7.441163606
7.785514834,8469.464223,26668.55148,10.59579832,1.979423077,209.9794629,2.210761523,2.243382353,62.55111821,3.698302304
6.637704918,6473.78678,32916.22814,15.27354943,2.061913696,212.3026316,2.325208551,3.715214067,116.5623987,6.285585174
7.454407159,12771.72222,36889.70041,12.81807851,2.068259259,292.1003185,2.000700353,1.340325077,104.7568238,5.998211949
7.739749478,7230.540541,36832.23563,13.33775862,1.975670498,283.3869732,2.161901291,1.761301267,141.2168224,7.439539889
7.087181373,8527.144608,24804.20833,15.18649856,2.090931373,178.9730392,2.713921569,2.447183099,182.5580808,10.60985101
5.131673052,11691.41373,31795.06673,6.514133333,2.205754902,261.6558824,2.303050779,1.439093137,81.33333333,4.268294485
7.174285714,10082.70719,32549.91848,7.808695652,2.089230769,238.7345277,2.903618326,3.186164122,116.4530387,5.245358228
6.954146341,5538.815857,22707.06332,21.78592357,0.403931398,174.9522293,1.577636098,1.080690537,152.6488889,55.56503958
6.689686028,4721.955631,23656.74231,18.29666116,1.899363817,159.4590818,1.931007613,2.055947955,210.5987261,7.868333333
6.657435099,9200.107143,30351.29252,9.163723285,1.999613095,226.7965686,2.457042669,2.257235772,101.245098,5.481804261
5.51767497,6605.321383,39603.64789,6.666923077,2.138599606,286.3986175,2.81094597,1.55912137,87.85404339,8.356578125
6.350823171,11663.10994,38389.01799,3.594267352,2.141580977,339.7990196,2.390300523,1.829349736,55.93042813,5.213051931
7.389431072,6396.10929,31772.29326,15.51077369,2.061913696,212.3026316,2.325208551,3.715214067,119.4147541,6.285585174
7.417648305,11691.22246,40415.62606,9.748347458,2.08371822,306.1175847,2.250354116,1.988244613,141.6551724,7.531285981
7.753636709,8589.754564,35793.50633,15.81899676,2.03964557,300.8330684,2.158448699,1.21487965,121.5718654,7.425398946
6.388755869,11184.00932,32788.20935,8.22423221,2.059924812,282.0900474,1.89073132,1.319240838,74.93650794,4.746903553
7.173319459,11411.70864,40394.22766,7.808695652,2.075535007,305.1634981,2.753942997,2.129539474,76.56672761,4.035539623
6.883698031,7568.409222,33705.07877,15.18251874,2.155806916,209.2574956,2.930592768,2.703409091,161.8091286,9.936719512
7.464807947,9366.988079,33855.46026,17.96804185,2.049983687,294.3128492,2.158448699,1.310813008,106.8884565,5.884657364
4.699859649,7827.760784,34973.95747,13.33712838,0.38097973,339.5472973,1.542086991,1.039795009,129.5614525,41.09279083
6.917946578,6012.436441,27027.74837,16.60107843,1.703934426,223.0966184,2.336847926,2.094829317,142.1586716,9.086855769
4.347970297,11243.38462,39544.3481,-0.080233766,2.217217963,327.2099156,2.862973408,1.554089027,40.40400844,3.62095354
7.607680851,11735.57872,27100.08298,6.078255319,2.068088377,212.0009606,2.032427695,1.67519337,86.70067265,4.868864959
7.765230548,12168.8487,25880.85303,0.806181556,2.00880069,204.0936599,2.192151091,1.703625761,122.3875969,6.488399676
7.869333333,9112.306011,25854.98389,10.57932605,2.014323995,207.2294182,2.102752206,3.343786808,76.71165049,6.818443886
6.672587269,13934.55339,32583.00205,1.800297741,2.152402464,244.9526494,2.95568,1.809277457,83.57700205,4.181533881
7.725152582,12136.73554,25880.85303,26.37354348,0.4295,185.5291577,1.589661491,1.563,144.775378,42.3775913
2.968807763,3768.921162,20669.75379,17.72526515,0.411212121,194.63125,1.756553447,1.194190871,179.2939481,71.54930584
2.340454545,1869.296364,9355.773504,2.923836735,0.201396648,189.9045643,1.709493954,1.097382479,43.69477912,280.1703128
5.982177914,12864.60454,30613.38133,4.969943274,2.149957143,280.6791809,1.835095123,1.225544794,74.74455206,4.18817094
7.949295238,9441.797716,30797.12268,9.010560748,2.054793814,233.8915441,2.27580183,3.343786808,105.8279267,5.735848189
5.003176661,14071.79766,27344.95492,4.89944668,2.1921065,216.4694719,2.451422997,2.08446558,66.70340357,3.213917342
6.777890871,7037.72,21993.65882,16.88734201,1.847385965,162.2989691,2.066020168,1.883823529,210.5987261,12.85169096
6.012211538,12412.62768,33793.73107,6.31074344,2.055312916,261.6,2.969192809,1.564929015,45.63822894,4.963383085
7.485339674,11754.7663,28171.68609,25.62282511,2.035846373,193.7678571,2.023755804,3.013127615,126.8087954,7.866305439
7.112545455,8908.987097,29943.28226,13.45238961,2.078318386,201.0921502,2.344859393,4.160105578,98.57756233,6.478583607
7.397818182,12063.46304,40227.11027,8.072801014,2.08371822,337.6309148,2.389834656,1.829349736,82.93690852,3.765840336
3.829859155,7570.979475,40961.60661,3.755620253,2.22186895,286.0655249,2.87821402,1.55912137,70.32024978,3.649549123
7.19659309,8451.844852,43931.27927,10.69481193,2.071749311,345.3784007,2.903485162,2.103874691,103.9934211,5.245299202
4.784351852,8037.410553,33475.56628,9.315675676,2.214242424,297.3976834,1.825043311,1.765606061,80.3996139,4.581156364
5.00287176,6437.847791,35966.47136,4.029372624,2.200733453,277.613748,2.291805004,1.867015209,76.87269682,6.632261866
7.626574257,11563.61641,33326.79771,8.249962406,2.108043704,216.0676692,1.898487921,4.150156576,82.07919654,4.746903553
7.405149171,10165.55556,36691.60989,25.94969871,2.086183575,284.6186916,2.265582983,1.952230047,119.0736498,11.06689706
2.574522822,6492.958549,36282.95067,0.753863532,2.233981002,261.6900338,2.993163853,1.915925059,71.63235294,6.457894813
7.173319459,11411.70864,41167.01889,8.097252862,2.075535007,254.1224747,2.811071429,2.034817073,103.9934211,5.399518421
7.869333333,8176.696275,27487.01433,10.53792937,1.933090379,223.5183044,2.829017224,2.82683518,141.6536204,7.96975
6.938482871,7087.517422,27839.82682,20.45938272,0.387968127,217.41527,1.563490752,1.080690537,144.8395062,50.15504194
5.497540323,4732.398104,19224.28495,17.93799499,0.410032468,207.6195286,2.163747899,1.600947867,193.2985782,51.55495309
6.162163188,13885.14284,32411.097,0.8387,2.28793,242.176,2.95568,1.715875,59.56647865,2.591949855
6.402014925,11627.78721,27374.92997,11.54924078,1.955957684,217.477918,1.84288122,1.373579545,79.7950052,5.486026648
6.436414286,14590.61435,34404.61161,1.166628151,2.146616617,294.1042693,2.16085034,1.366463944,63.38787879,3.440509885
6.398261421,6097.028953,29085.50919,16.21694253,2.170712644,193.9055118,2.709541814,2.045498615,163.6604167,9.936719512
7.012753978,10547.11599,39864.51538,17.95689011,1.99651363,306.1175847,2.182528263,1.491495726,98.0129717,5.39157702
4.928428805,10431.20757,32732.67362,2.767956757,2.205447853,266.4390216,2.580194882,1.598035547,65.44197292,3.723272257
7.645491803,8995.183844,28167.95543,9.505889831,1.968834532,208.3435583,2.771914086,3.365686275,154.4810924,9.825367647
7.952230216,9441.797716,36166.92928,19.98156788,0.403923358,311.3180272,1.678868925,0.95734127,125.3099631,44.57649027
7.056647399,10455.97254,30756.14951,6.625337423,2.058650407,236.3983287,2.102027177,1.833821263,90.55944056,4.584508159
7.817678245,8809.492537,32335.95608,16.04348231,2.009180633,273.4229137,2.280453972,1.809925558,130.8208191,7.321809872
6.89619637,9906.480198,36055.59615,7.990985577,2.116142649,332.4111922,1.896341197,1.253061224,85.73644252,4.510867299
8.867185629,11459.32435,40595.76177,10.298875,1.993324397,335.3148688,2.762536566,2.237665094,76.56672761,3.436828571
7.224773585,10977.05115,36401.93723,6.947611732,2.052859634,326.5994475,1.97670932,1.856429856,102.2087186,5.675159091
6.396118314,5909.746067,32088.26211,12.43769774,2.20319403,205.8241279,2.297566936,1.951348315,71.88597843,6.344129464
3.191064774,6697.953247,33731.02232,0.753863532,2.232215569,237.0090703,2.852480867,1.633178808,87.96240602,11.19845552
7.961407767,8267.792619,26443.97323,9.519745597,1.897314815,198.1763393,2.681458583,1.8705033,142.4666667,9.825367647
7.437780269,6245.188341,31589.34816,19.58704918,2.101779141,249.6876356,2.131746955,1.794257426,159.7423888,8.513340564
